ROW 0:  || MENU ||  || OUTLINE || FITUR || FILL || TIPE USER ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
ROW 1:  ||  ||  ||  ||  ||  || SALES ||  ||  ||  ||  || ADMIN ||  ||  ||  ||  || SPECTATOR ||  ||  ||  ||  || SUPER ADMIN ||  ||  ||  ||  || 
ROW 2:  ||  ||  ||  ||  ||  || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || ADD || VIEW || APRV || EDIT || DEL || 
ROW 3:  || NERACA || DASHBOARD || NERACA || OMSET PERGUDANG || EXPORT EXCEL DAN PDF 
(RENTANG WAKTU) ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 4:  ||  ||  ||  || NILAI PEMBELIAN GUDANG ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 5:  ||  ||  ||  || NILAI PENJUALAN GUDANG RETAIL ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 6:  ||  ||  ||  || NILAI PENJULAN GUDANG GROSIR ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 7:  ||  ||  ||  || JUMLAH PRODUK TERJUAL RETAIL ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 8:  ||  ||  ||  || JUMLAH PRODUK TERJUAL GROSIR ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
ROW 9:  ||  ||  ||  || PEMBAYARAN LUNAS PERGUDANG ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
ROW 10:  ||  ||  ||  || PEMBAYARAN BELUM LUNAS PERGUDANG ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  ||  || ☑ ||  ||  ||  || NEW
ROW 11:  || KUNJUNGAN || BUAT KUNJUNGAN || INFORMASI KUNJUNGAN || NAMA PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 12:  ||  ||  ||  || TANGGAL KUNJUNGAN || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 13:  ||  ||  ||  || TUJUAN KUNJUNGAN || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 14:  ||  ||  ||  || KOORDINAT KUNJUNGAN || autofill based gps ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 15:  ||  ||  || HASIL KUNJUNGAN || NAMA PRODUK || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 16:  ||  ||  ||  || JUMLAH PRODUK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 17:  ||  ||  ||  || BATCH AND EXP || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 18:  ||  ||  || CATATAN DAN LAMPIRAN || MEMO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 19:  ||  ||  ||  || LAMPIRAN FOTO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 20:  || PENJUALAN || BUAT PENJUALAN || INFORMASI PELANGGAN || NAMA PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 21:  ||  ||  ||  || NOMOR TELEPON PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 22:  ||  ||  ||  || ALAMAT PELANGGAN || List Created Contact by User || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 23:  ||  ||  || DETAIL TRANSAKSI || NOMOR TRANSAKSI || autofill based date ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 24:  ||  ||  ||  || TANGGAL TRANSAKSI || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 25:  ||  ||  ||  || JATUH TEMPO || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 26:  ||  ||  ||  || TIPE HARGA || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 27:  ||  ||  ||  || NO REFERENSI || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ || ☑ ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 28:  ||  ||  ||  || KOORDINAT || autofill based gps ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 29:  ||  ||  || ITEM PENJUALAN || NAMA PRODUK || choose from list || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 30:  ||  ||  ||  || QTY PRODUK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 31:  ||  ||  ||  || UNIT || auto fill dari produk ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 32:  ||  ||  ||  || HARGA || auto fill dari produk ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 33:  ||  ||  ||  || DISCONT PERCENT || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 34:  ||  ||  ||  || DISCONT RP || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 35:  ||  ||  ||  || BATCH AND EXP || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 36:  ||  ||  ||  || DESKRIPSI || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 37:  ||  ||  ||  || JUMLAH SUB || Auto Calculated ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 38:  ||  ||  || TOTAL DAN PAJAK || DISKON AKHIR || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 39:  ||  ||  ||  || PAJAK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 40:  ||  ||  ||  || BIAYA PENGIRIMAN || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 41:  ||  ||  || CATATAN DAN LAMPIRAN || TAG SALES || Autofill based Account ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 42:  ||  ||  ||  || MEMO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 43:  ||  ||  ||  || LAMPIRAN FOTO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 44:  || BIAYA || BUAT BIAYA || INFORMASI BIAYA || JENIS BIAYA || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 45:  ||  ||  ||  || GUDANG || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 46:  ||  ||  ||  || TAG SALES || Autofill ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 47:  ||  ||  ||  || BAYAR DARI || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 48:  ||  ||  ||  || PENERIMA || List Created Contact by User ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 49:  ||  ||  ||  || NOMOR TELEPON || List Created Contact by User ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 50:  ||  ||  ||  || TANGGAL TRANSAKSI || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 51:  ||  ||  ||  || CARA PEMBAYARAN || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 52:  ||  ||  ||  || ALAMAT PENAGIHAN || Autofill ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 53:  ||  ||  || ITEM || KATEGORI || choose from list ||  || ☑ ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 54:  ||  ||  ||  || DESKERIPSI || entry || ☑ ||  ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 55:  ||  ||  ||  || JUMLAH || entry || ☑ ||  ||  ||  ||  ||  || ☑ || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 56:  ||  ||  || TOTAL DAN PAJAK || DISKON AKHIR || entry || ☑ ||  ||  ||  ||  ||  ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 57:  ||  ||  ||  || PAJAK || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
ROW 58:  ||  ||  || CATATAN DAN LAMPIRAN || MEMO || entry || ☑ ||  ||  ||  ||  || ☑ ||  || ☑ ||  ||  ||  || ☑ ||  ||  ||  || ☑ || ☑ || ☑ || ☑ || ☑ || 
